LSOA21CD,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
E01033919,588,41615.07,277437001.0,6667,8956
E01001923,613,70389.45000000001,402639851.0,5720,8942
E01002738,621,59385.56,352087852.0,5929,8936
E01035741,379,56020.18999999999,331693821.0,5921,8936
E01000938,160,11553.159999999998,68377627.0,5919,8934
E01035689,924,59565.76619999999,349814141.0,5873,8931
E01033490,540,33568.72000000001,185482268.0,5525,8920
E01033875,214,13626.410000000002,86102164.0,6319,8903
E01000580,631,76968.93000000007,458209988.0,5953,8901
E01032770,1259,78270.54374000001,449868611.0,5748,8900
E01033946,295,18800.76,125295857.0,6664,8893
E01000887,431,38148.50000000002,217825809.0,5710,8867
E01003878,336,40866.786,232122137.0,5680,8860
E01000856,247,21940.60000000001,127661397.0,5819,8860
E01001896,439,37623.77999999999,216780729.0,5762,8860
E01000928,350,34481.00700000001,208892453.0,6058,8838
E01001901,813,101223.96999999999,572887338.0,5660,8836
E01000867,314,22512.056000000004,134110164.0,5957,8834
E01004706,1047,85085.54999999997,469997737.0,5524,8828
E01004686,1594,106309.38000000009,583076339.0,5485,8826
E01035698,478,30389.809999999998,178538486.0,5875,8819
E01003463,398,81677.737,489532571.0,5993,8802
E01004661,794,75718.90479999995,416555862.0,5501,8799
E01001873,347,29905.77999999999,166261560.0,5560,8798
E01000966,553,58239.82999999998,325654334.0,5592,8795
E01033099,743,54674.71999999999,335459855.0,6136,8791
E01004619,691,113504.88760000002,649409093.0,5721,8781
E01000582,529,79586.13999999998,474045260.0,5956,8778
E01033870,604,41812.98,254857378.0,6095,8778
E01000212,281,45710.04000000001,258589430.0,5657,8772
E01002908,328,38718.11999999998,224059320.0,5787,8765
E01001932,402,36005.74000000001,208671150.0,5795,8762
E01000886,323,34226.77999999999,196468962.0,5740,8749
E01003854,798,80107.77499999998,452902419.0,5654,8745
E01032638,1208,103594.18000000004,551631762.0,5325,8743
E01004583,803,76753.48860000003,414013598.0,5394,8740
E01002722,318,25136.558000000005,144688484.0,5756,8739
E01001930,545,57432.88800000001,325644115.0,5670,8737
E01000866,348,30720.799999999996,177565051.0,5780,8733
E01003799,614,108519.20000000003,614836996.0,5666,8725
E01000964,449,38077.42999999999,213329044.0,5603,8722
E01034388,455,31292.32,200454195.0,6406,8721
E01002575,532,71470.16000000003,405692445.0,5676,8713
E01004652,1072,68714.25200000002,367469846.0,5348,8702
E01034179,349,25779.832,154025730.0,5975,8697
E01000847,372,42677.280000000006,241723356.0,5664,8683
E01004309,508,31495.981000000003,182728442.0,5802,8679
E01033877,243,17160.66,107555993.0,6268,8676
E01003936,560,41669.64,223694842.0,5368,8673
E01032767,1062,66178.06800000001,356617401.0,5389,8672
E01034189,477,39475.0,260888035.0,6609,8665
E01002569,837,94476.26000000001,550894317.0,5831,8660
E01034220,451,31484.34,202516657.0,6432,8652
E01002877,156,17289.689999999995,99622146.0,5762,8629
E01002796,210,18938.59999999999,107674836.0,5685,8615
E01002711,616,45242.65999999999,247677329.0,5474,8610
E01004507,1289,94157.28200000004,535912604.0,5692,8608
E01002693,868,68029.696,375610871.0,5521,8597
E01002007,560,63987.83699999999,359345456.0,5616,8590
E01003849,705,76127.65399999995,422486464.0,5550,8586
E01003474,441,97854.54999999999,554934382.0,5671,8585
E01004277,1611,148534.69999999984,755569808.0,5087,8582
E01001907,386,57977.11,322032939.0,5554,8574
E01001379,726,85542.51,479090464.0,5601,8570
E01033603,345,23812.25,128263312.0,5386,8567
E01002790,116,9127.39,50165273.0,5496,8558
E01034043,471,34116.270000000004,193781476.0,5680,8556
E01033598,273,17711.34,94504104.0,5336,8552
E01033706,535,42425.57000000001,234220325.0,5521,8547
E01002745,469,44279.219999999994,246482680.0,5567,8546
E01000904,422,32523.954000000023,181113907.0,5569,8546
E01002752,477,41714.770000000004,236848703.0,5678,8543
E01035646,344,25119.654000000002,145228317.0,5781,8537
E01000922,322,27298.44,153771448.0,5633,8533
E01035671,617,37169.09999999999,230238840.0,6194,8529
E01000846,224,29035.05,162322680.0,5591,8518
E01034175,502,35337.0,228499124.0,6466,8517
E01002799,306,22519.09,126032361.0,5597,8513
E01004638,411,75137.7762,419560132.0,5584,8512
E01003847,679,61572.30000000005,336749700.0,5469,8510
E01001937,622,81889.768,444265989.0,5425,8500
E01004316,186,14208.890000000003,81856826.0,5761,8498
E01002574,553,62909.540000000015,345887700.0,5498,8489
E01000900,458,37849.08000000001,211187169.0,5580,8489
E01000861,380,25673.470000000012,141570881.0,5514,8488
E01002879,171,11838.800000000005,66526694.0,5619,8485
E01000911,350,34160.71,190528759.0,5577,8483
E01001919,471,73172.97,403943491.0,5520,8478
E01002570,400,44343.806000000004,239116960.0,5392,8477
E01004506,1229,100733.02799999998,549984974.0,5460,8472
E01034219,306,26181.0,170274327.0,6504,8452
E01000870,404,35679.85399999999,198671659.0,5568,8450
E01001811,268,19084.18399999999,119246850.0,6248,8438
E01001714,506,33808.740000000005,207123371.0,6126,8436
E01002725,178,14159.300000000003,76625444.0,5412,8428
E01004708,573,41015.35999999999,222247403.0,5419,8425
E01003039,879,82271.56599999996,452951641.0,5506,8421
E01004479,589,84551.22940000007,465940227.0,5511,8420
E01032803,971,68921.81999999998,364360668.0,5287,8418
E01002793,413,28891.73999999999,152455577.0,5277,8418
E01003851,609,74566.53,404793513.0,5429,8414
E01034181,439,29054.337999999996,169061170.0,5819,8414
E01003464,530,105174.76649999997,574835411.0,5466,8413
E01003816,463,83332.77114999997,454757749.0,5457,8409
E01001902,883,74150.35500000003,395396935.0,5332,8402
E01002011,683,63841.64099999997,356451239.0,5583,8393
E01004560,1079,104999.91000000003,570188999.0,5430,8380
E01034387,1005,68545.05,406568707.0,5931,8372
E01003893,681,63419.712000000014,341341470.0,5382,8368
