postcode_district,property_type,num_sales,total_floor_area,total_price,price_per_sqm,adj_price_per_sqm
B3,F,1663,105869.0,297200918.0,2807,4089
B3,T,15,1975.0,6922250.0,3505,4632
B30,ALL,8918,784753.0,1549934749.0,1975,2793
B30,D,498,60819.0,152169944.0,2502,3483
B30,F,1443,82731.0,158109214.0,1911,2791
B30,S,2732,260816.0,550843784.0,2112,2961
B30,T,4245,380387.0,688811807.0,1811,2569
B31,ALL,15620,1264457.0,2321180708.0,1836,2570
B31,D,1416,155041.0,338321459.0,2182,3019
B31,F,2378,140907.0,292914962.0,2079,2908
B31,S,6765,574332.0,1046686112.0,1822,2535
B31,T,5061,394177.0,643258175.0,1632,2323
B32,ALL,7299,604164.0,1038299744.0,1719,2454
B32,D,659,67253.0,160798333.0,2391,3376
B32,F,693,38792.0,56025816.0,1444,2129
B32,S,2678,226604.0,415352119.0,1833,2624
B32,T,3269,271515.0,406123476.0,1496,2131
B33,ALL,7579,602783.0,862159809.0,1430,2069
B33,D,214,24009.0,44007903.0,1833,2591
B33,F,719,39175.0,49456251.0,1262,1966
B33,S,3133,270154.0,388297324.0,1437,2072
B33,T,3513,269445.0,380398331.0,1412,2036
B34,ALL,4991,414961.0,638203518.0,1538,2217
B34,D,236,22069.0,39207476.0,1777,2639
B34,F,327,19091.0,26239113.0,1374,2061
B34,S,2126,187201.0,293354168.0,1567,2296
B34,T,2302,186600.0,279402761.0,1497,2103
B35,ALL,1397,111048.0,160705637.0,1447,2020
B35,D,17,1633.0,3007300.0,1842,2586
B35,F,319,17232.0,25950470.0,1506,2257
B35,S,238,22298.0,37902695.0,1700,2250
B35,T,823,69885.0,93845172.0,1343,1875
B36,ALL,7942,726012.0,1219053142.0,1679,2397
B36,D,856,104407.0,218907862.0,2097,2955
B36,F,828,50149.0,75149467.0,1499,2192
B36,S,3265,308705.0,565169650.0,1831,2600
B36,T,2993,262751.0,359826163.0,1369,1976
B37,ALL,7792,660592.0,1056051919.0,1599,2285
B37,D,825,107027.0,220364011.0,2059,2954
B37,F,1401,84383.0,107763542.0,1277,1912
B37,S,1926,168030.0,311517643.0,1854,2590
B37,T,3640,301152.0,416406723.0,1383,1982
B38,ALL,5442,463012.0,852959441.0,1842,2561
B38,D,625,86038.0,198388234.0,2306,3146
B38,F,857,49194.0,69700771.0,1417,2162
B38,S,1761,152156.0,306871484.0,2017,2744
B38,T,2199,175624.0,277998952.0,1583,2229
B4,ALL,563,32511.0,134505423.0,4137,5061
B4,F,562,32443.0,134395423.0,4143,5066
B42,ALL,7223,566075.0,945640933.0,1671,2406
B42,D,395,41796.0,90821133.0,2173,2974
B42,F,371,21349.0,34499102.0,1616,2357
B42,S,4208,327490.0,538748141.0,1645,2395
B42,T,2249,175440.0,281572557.0,1605,2296
B43,ALL,7447,644511.0,1232296875.0,1912,2662
B43,D,881,104521.0,221613304.0,2120,2967
B43,F,916,55682.0,95371724.0,1713,2489
B43,S,3909,338228.0,644055677.0,1904,2638
B43,T,1741,146080.0,271256170.0,1857,2565
B44,ALL,9566,735099.0,1101981404.0,1499,2141
B44,D,172,15750.0,26558374.0,1686,2489
B44,F,416,22912.0,30859489.0,1347,1989
B44,S,5447,428812.0,643858355.0,1501,2158
B44,T,3531,267625.0,400705186.0,1497,2106
B45,ALL,5407,520520.0,1219683419.0,2343,3264
B45,D,1163,183731.0,547562808.0,2980,4112
B45,F,722,39980.0,69207463.0,1731,2587
B45,S,1951,171528.0,376563523.0,2195,3022
B45,T,1571,125281.0,226349625.0,1807,2570
B46,ALL,2560,244563.0,594197846.0,2430,3411
B46,D,555,80811.0,208382669.0,2579,3570
B46,F,490,29295.0,65225194.0,2226,3185
B46,S,822,78957.0,188583701.0,2388,3379
B46,T,693,55500.0,132006282.0,2378,3346
B47,ALL,1780,189580.0,512782274.0,2705,3788
B47,D,676,89410.0,255466860.0,2857,3974
B47,F,127,8556.0,17226572.0,2013,3048
B47,S,624,61026.0,162338349.0,2660,3706
B47,T,353,30588.0,77750493.0,2542,3617
B48,ALL,1130,142743.0,385946729.0,2704,3801
B48,D,439,77239.0,206896302.0,2679,3763
B48,F,14,829.0,2378400.0,2869,3807
B48,S,383,39817.0,108716324.0,2730,3852
B48,T,294,24858.0,67955703.0,2734,3835
B49,ALL,3425,317439.0,803038163.0,2530,3527
B49,D,847,120771.0,343283851.0,2842,3889
B49,F,547,32231.0,71803359.0,2228,3175
B49,S,1062,92830.0,224539257.0,2419,3387
B49,T,969,71607.0,163411696.0,2282,3256
B5,ALL,3462,247336.0,587628258.0,2376,3497
B5,D,115,18390.0,39725705.0,2160,3049
B5,F,2616,153930.0,405332163.0,2633,3945
B5,S,218,23694.0,37403239.0,1579,2384
B5,T,513,51322.0,105167151.0,2049,2827
B50,ALL,1515,154571.0,403126951.0,2608,3598
B50,D,722,91160.0,249032186.0,2732,3724
B50,F,128,7125.0,15099784.0,2119,3053
B50,S,373,32367.0,83999513.0,2595,3617
B50,T,292,23919.0,54995468.0,2299,3252
B6,ALL,2197,198333.0,185160133.0,934,1438
B6,D,22,2673.0,2609671.0,976,1588
B6,F,129,6592.0,7289175.0,1106,1691
B6,S,261,26234.0,26473724.0,1009,1585
B6,T,1785,162834.0,148787563.0,914,1401
B60,ALL,8876,886099.0,2069356269.0,2335,3343
B60,D,3323,441650.0,1097868798.0,2486,3545
B60,F,981,57724.0,116049538.0,2010,3005
B60,S,2794,246803.0,552156573.0,2237,3173
B60,T,1778,139922.0,303281360.0,2168,3142
B61,ALL,7720,730847.0,1559827722.0,2134,3056
B61,D,2365,300180.0,713198261.0,2376,3393
B61,F,741,40779.0,86074743.0,2111,3076
B61,S,2452,219925.0,437868178.0,1991,2835
B61,T,2162,169963.0,322686540.0,1899,2743
B62,ALL,7217,677886.0,1317851396.0,1944,2717
B62,D,1738,201678.0,471260366.0,2337,3228
B62,F,522,31777.0,52447319.0,1650,2481
B62,S,2826,257599.0,497821463.0,1933,2682
B62,T,2131,186832.0,296322248.0,1586,2252
B63,ALL,11016,921107.0,1614730468.0,1753,2470
B63,D,1401,149278.0,315812845.0,2116,2958
B63,F,1440,78292.0,120350075.0,1537,2283
B63,S,4870,423380.0,765840930.0,1809,2518
B63,T,3305,270157.0,412726618.0,1528,2178
B64,ALL,4751,389661.0,635468408.0,1631,2324
B64,D,949,94327.0,194922095.0,2066,2877
B64,F,512,26248.0,46423042.0,1769,2649
B64,S,1790,147152.0,230647691.0,1567,2224
B64,T,1500,121934.0,163475580.0,1341,1947
B65,ALL,6030,484330.0,762237298.0,1574,2209
B65,D,892,88645.0,170765595.0,1926,2683
